wavelength,excitation,dichroic,emission
384.2,2.29E-06,4.99E-05,1.29E-07
384.4,2.30E-06,4.97E-05,1.24E-07
384.6,2.31E-06,5.20E-05,1.19E-07
384.8,2.32E-06,9.38E-05,1.14E-07
385,2.32E-06,0.00010212,1.09E-07
385.2,2.33E-06,0.00019989,1.05E-07
385.4,2.34E-06,0.00028404,1.01E-07
385.6,2.35E-06,0.0003548,1.05E-07
385.8,2.35E-06,0.00040434,1.12E-07
386,2.36E-06,0.00061462,1.19E-07
386.2,2.38E-06,0.00062702,1.26E-07
386.4,2.40E-06,0.00062182,1.34E-07
386.6,2.41E-06,0.0005791,1.43E-07
386.8,2.43E-06,0.00060658,1.52E-07
387,2.45E-06,0.00049168,1.62E-07
387.2,2.47E-06,0.00038426,1.72E-07
387.4,2.49E-06,0.00032322,1.83E-07
387.6,2.50E-06,0.0001371,1.95E-07
387.8,2.52E-06,8.79E-05,2.07E-07
388,2.54E-06,4.55E-05,2.20E-07
388.2,2.56E-06,4.49E-05,2.34E-07
388.4,2.58E-06,4.45E-05,2.49E-07
388.6,2.60E-06,4.42E-05,2.65E-07
388.8,2.61E-06,4.41E-05,2.82E-07
389,2.63E-06,4.37E-05,3.00E-07
389.2,2.65E-06,4.35E-05,3.06E-07
389.4,2.67E-06,4.31E-05,3.13E-07
389.6,2.69E-06,4.26E-05,3.20E-07
389.8,2.71E-06,4.19E-05,3.27E-07
390,2.73E-06,4.20E-05,3.34E-07
390.2,2.75E-06,4.20E-05,3.41E-07
390.4,2.77E-06,4.22E-05,3.48E-07
390.6,2.79E-06,4.25E-05,3.56E-07
390.8,2.81E-06,7.29E-05,3.64E-07
391,2.83E-06,0.00012316,3.72E-07
391.2,2.88E-06,0.00021806,3.80E-07
391.4,2.93E-06,0.00018933,3.88E-07
391.6,2.97E-06,0.00026736,3.96E-07
391.8,3.02E-06,0.00028399,4.05E-07
392,3.07E-06,0.00086795,4.14E-07
392.2,3.12E-06,0.00109,4.23E-07
392.4,3.18E-06,0.00108,4.32E-07
392.6,3.23E-06,0.00123,4.41E-07
392.8,3.28E-06,0.00133,4.51E-07
393,3.34E-06,0.00123,4.61E-07
393.2,3.39E-06,0.00141,4.71E-07
393.4,3.45E-06,0.00139,4.81E-07
393.6,3.51E-06,0.00134,4.92E-07
393.8,3.56E-06,0.00129,5.02E-07
394,3.62E-06,0.00103,5.12E-07
394.2,3.68E-06,0.00093507,4.80E-07
394.4,3.74E-06,0.00090544,4.50E-07
394.6,3.81E-06,0.00067552,4.21E-07
394.8,3.87E-06,0.00073534,3.94E-07
395,3.93E-06,0.00056284,3.69E-07
395.2,4.00E-06,0.00046746,3.46E-07
395.4,4.07E-06,0.00062629,3.24E-07
395.6,4.13E-06,0.00067619,3.04E-07
395.8,4.20E-06,0.00054344,2.84E-07
