,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
C10,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,50,2,pJUMP44-2A(pRO1600-ColE1)|50ug|2,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C10 of 3 on Temperature Module GEN2 on 3,25/09/2022
D10,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,75,0,pJUMP44-2A(pRO1600-ColE1)|75ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D10 of 3 on Temperature Module GEN2 on 3,25/09/2022
E10,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,75,1,pJUMP44-2A(pRO1600-ColE1)|75ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E10 of 3 on Temperature Module GEN2 on 3,25/09/2022
F10,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,75,2,pJUMP44-2A(pRO1600-ColE1)|75ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F10 of 3 on Temperature Module GEN2 on 3,25/09/2022
G10,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,100,0,pJUMP44-2A(pRO1600-ColE1)|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G10 of 3 on Temperature Module GEN2 on 3,25/09/2022
H10,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,100,1,pJUMP44-2A(pRO1600-ColE1)|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H10 of 3 on Temperature Module GEN2 on 3,25/09/2022
A11,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,100,2,pJUMP44-2A(pRO1600-ColE1)|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A11 of 3 on Temperature Module GEN2 on 3,25/09/2022
B11,y,DH5a,pJUMP48-2A(pUC),EZRDM,0,0,pJUMP48-2A(pUC)|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B11 of 3 on Temperature Module GEN2 on 3,25/09/2022
C11,y,DH5a,pJUMP48-2A(pUC),EZRDM,0,1,pJUMP48-2A(pUC)|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C11 of 3 on Temperature Module GEN2 on 3,25/09/2022
D11,y,DH5a,pJUMP48-2A(pUC),EZRDM,0,2,pJUMP48-2A(pUC)|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D11 of 3 on Temperature Module GEN2 on 3,25/09/2022
